
2025/03/24 (19:44:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/24 (19:44:33) | INFO: Quitting! Runtime: 00:00:01

2025/03/24 (19:44:35) | ===> btop++ v.1.4.0
2025/03/24 (19:44:35) | INFO: Logger set to INFO
2025/03/24 (19:44:35) | INFO: Running on /dev/pts/4
2025/03/24 (19:44:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/24 (19:44:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/24 (19:44:36) | INFO: Quitting! Runtime: 00:00:01

2025/03/25 (16:15:28) | ===> btop++ v.1.4.0
2025/03/25 (16:15:28) | INFO: Logger set to INFO
2025/03/25 (16:15:28) | INFO: Running on /dev/pts/1
2025/03/25 (16:15:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (16:15:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (16:15:34) | ===> btop++ v.1.4.0
2025/03/25 (16:15:34) | INFO: Logger set to INFO
2025/03/25 (16:15:34) | INFO: Running on /dev/pts/1
2025/03/25 (16:15:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (16:15:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:20) | ===> btop++ v.1.4.0
2025/03/25 (17:39:20) | INFO: Logger set to INFO
2025/03/25 (17:39:20) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:21) | ===> btop++ v.1.4.0
2025/03/25 (17:39:21) | INFO: Logger set to INFO
2025/03/25 (17:39:21) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:23) | ===> btop++ v.1.4.0
2025/03/25 (17:39:23) | INFO: Logger set to INFO
2025/03/25 (17:39:23) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:23) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:24) | ===> btop++ v.1.4.0
2025/03/25 (17:39:24) | INFO: Logger set to INFO
2025/03/25 (17:39:24) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:26) | ===> btop++ v.1.4.0
2025/03/25 (17:39:26) | INFO: Logger set to INFO
2025/03/25 (17:39:26) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:26) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:27) | ===> btop++ v.1.4.0
2025/03/25 (17:39:27) | INFO: Logger set to INFO
2025/03/25 (17:39:27) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:29) | ===> btop++ v.1.4.0
2025/03/25 (17:39:29) | INFO: Logger set to INFO
2025/03/25 (17:39:29) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:30) | ===> btop++ v.1.4.0
2025/03/25 (17:39:30) | INFO: Logger set to INFO
2025/03/25 (17:39:30) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:31) | ===> btop++ v.1.4.0
2025/03/25 (17:39:31) | INFO: Logger set to INFO
2025/03/25 (17:39:31) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (17:39:32) | ===> btop++ v.1.4.0
2025/03/25 (17:39:32) | INFO: Logger set to INFO
2025/03/25 (17:39:32) | INFO: Running on /dev/pts/0
2025/03/25 (17:39:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (17:39:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/25 (18:07:55) | ===> btop++ v.1.4.0
2025/03/25 (18:07:55) | INFO: Logger set to INFO
2025/03/25 (18:07:55) | INFO: Running on /dev/pts/1
2025/03/25 (18:07:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:07:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/25 (18:08:25) | INFO: Quitting! Runtime: 00:00:30
